Date,Open,High,Low,Close
9/30/16,"10,675.25","10,764.27","10,587.93","10,721.74"
10/7/16,"10,721.85","10,721.85","10,579.63","10,626.92"
10/14/16,"10,671.22","10,711.82","10,425.91","10,521.31"
10/21/16,"10,516.30","10,626.44","10,481.59","10,571.88"
10/28/16,"10,610.58","10,629.63","10,447.25","10,476.62"
11/4/16,"10,476.92","10,513.52","10,281.48","10,289.35"
11/11/16,"10,416.34","10,735.00","10,416.34","10,652.24"
11/18/16,"10,660.45","10,759.15","10,633.98","10,709.51"
11/25/16,"10,753.25","10,878.10","10,752.08","10,878.09"
12/2/16,"10,857.47","10,890.04","10,786.40","10,838.58"
12/9/16,"10,890.15","11,194.23","10,888.72","11,191.79"
12/16/16,"11,200.19","11,256.07","11,086.39","11,125.22"
12/23/16,"11,127.00","11,176.68","11,100.93","11,128.80"
12/30/16,"11,601.30","11,688.45","11,034.05","11,056.90"
1/6/17,"11,138.85","11,264.17","11,094.29","11,237.62"
1/13/17,"11,209.71","11,244.32","11,136.19","11,227.17"
1/20/17,"11,209.72","11,221.90","11,118.47","11,192.79"
1/27/17,"11,311.33","11,314.32","11,270.64","11,283.19"
2/3/17,"11,228.36","11,316.73","11,147.11","11,310.74"
2/10/17,"11,278.41","11,390.89","11,196.93","11,377.72"
2/17/17,"11,378.11","11,525.21","11,378.11","11,510.91"
2/24/17,"11,517.94","11,590.35","11,486.17","11,541.29"
3/3/17,"11,531.40","11,687.07","11,498.92","11,598.37"
3/10/17,"11,556.63","11,562.60","11,411.84","11,500.76"
3/17/17,"11,507.19","11,630.93","11,428.73","11,589.02"
3/24/17,"11,582.72","11,607.23","11,372.30","11,418.89"
3/31/17,"11,341.33","11,537.70","11,324.50","11,492.85"
4/7/17,"11,495.33","11,560.82","11,394.34","11,445.58"
4/13/17,"11,454.11","11,496.73","11,324.53","11,324.53"
4/21/17,"11,351.67","11,449.15","11,327.22","11,389.13"
4/28/17,"11,515.01","11,653.18","11,512.14","11,536.08"
5/5/17,"11,550.41","11,615.61","11,490.42","11,615.61"
5/12/17,"11,607.28","11,612.18","11,508.18","11,547.06"
5/19/17,"11,547.44","11,642.85","11,374.65","11,542.69"
5/26/17,"11,574.83","11,666.90","11,560.38","11,631.87"
6/2/17,"11,607.00","11,728.80","11,554.86","11,718.69"
6/9/17,"11,700.46","11,754.76","11,635.57","11,744.73"
6/16/17,"11,749.35","11,811.51","11,693.90","11,772.02"
6/23/17,"11,801.83","11,836.96","11,678.90","11,733.20"
6/30/17,"11,761.45","11,837.60","11,683.31","11,761.70"
7/7/17,"11,801.45","11,869.82","11,694.08","11,752.98"
7/14/17,"11,744.24","11,918.17","11,684.75","11,897.31"
7/21/17,"11,894.69","11,963.55","11,843.82","11,924.60"
7/28/17,"11,918.53","11,985.80","11,891.66","11,954.69"
8/4/17,"11,976.21","12,012.65","11,938.90","11,984.89"
8/11/17,"11,983.72","12,019.84","11,753.30","11,763.21"
8/18/17,"11,820.19","11,891.04","11,670.88","11,699.83"
8/25/17,"11,700.11","11,845.50","11,678.22","11,812.03"
9/1/17,"11,831.02","11,934.97","11,728.98","11,918.08"
9/8/17,"11,894.93","11,902.44","11,783.87","11,887.98"
9/15/17,"11,943.47","12,080.68","11,943.47","12,080.14"
9/22/17,"12,094.83","12,158.98","12,091.73","12,151.80"
9/29/17,"12,144.07","12,209.45","12,108.01","12,209.16"
10/6/17,"12,209.16","12,351.14","12,200.13","12,317.69"
10/13/17,"12,328.19","12,377.89","12,281.18","12,352.00"
10/20/17,"12,365.99","12,430.65","12,322.13","12,430.52"
10/27/17,"12,436.76","12,443.80","12,280.31","12,366.43"
11/3/17,"12,349.36","12,414.61","12,308.84","12,373.06"
11/10/17,"12,373.07","12,415.97","12,268.07","12,322.61"
11/17/17,"12,281.19","12,328.16","12,178.89","12,302.89"
11/24/17,"12,306.66","12,431.69","12,294.96","12,421.93"
12/1/17,"12,421.31","12,673.70","12,390.30","12,614.57"
12/8/17,"12,685.78","12,724.50","12,512.03","12,643.06"
12/15/17,"12,653.10","12,739.80","12,629.07","12,699.68"
12/22/17,"12,760.53","12,826.03","12,741.87","12,797.44"
12/29/17,"12,794.13","12,886.11","12,794.13","12,808.84"
1/5/18,"12,860.94","13,104.52","12,842.27","13,103.23"
